customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,R_Score,F_Score,M_Score,RFMClass_text,Segment,Segment_Sort
Aaliyah Carroll,1,4,31,1,4,4,144,5,1,1,511,New/Higher Recency,4
Aaliyah Padberg,1,21,76,2,4,2,242,4,1,4,414,Regular,5
Aarav Hyatt,1,43,40,3,4,4,344,3,1,2,312,Regular,5
Aarav Kassulke,1,70,38,4,4,4,444,1,1,1,111,At Risk,6
Aarav Kutch,1,72,26,4,4,4,444,1,1,1,111,At Risk,6
Aaron Gutmann,1,53,77,3,4,2,342,2,1,4,214,Regular,5
Aaron Stracke,3,4,170,1,1,1,111,5,5,5,555,VIP,1
Abagail Weissnat,2,12,76,1,2,2,122,4,4,4,444,VIP,1
Abagail Windler PhD,1,46,55,3,4,3,343,2,1,2,212,At Risk,6
Abb Armstrong,2,37,90,2,2,2,222,3,4,4,344,Big Spenders,3
Abbey Hettinger,1,16,59,2,4,3,243,4,1,3,413,Regular,5
Abbey O'Reilly DVM,1,58,71,3,4,2,342,2,1,3,213,Regular,5
Abbie Mayer,2,68,98,4,2,2,422,1,4,4,144,Big Spenders,3
Abbie Moore,1,5,69,1,4,2,142,5,1,3,513,New/Higher Recency,4
Abbie Zemlak MD,1,77,37,4,4,4,444,1,1,1,111,At Risk,6
Abbott Braun,3,72,196,4,1,1,411,1,5,5,155,Big Spenders,3
Abby Kozey PhD,1,21,61,2,4,3,243,4,1,3,413,Regular,5
Abby Watsica,1,35,35,2,4,4,244,3,1,1,311,Regular,5
Abdiel Hoppe,2,12,104,1,2,2,122,4,4,4,444,VIP,1
Abdiel Konopelski,1,20,74,2,4,2,242,4,1,3,413,Regular,5
Abdul Ernser,1,19,63,2,4,3,243,4,1,3,413,Regular,5
Abdul Ferry,1,4,53,1,4,3,143,5,1,2,512,New/Higher Recency,4
Abdullah Pfannerstill,1,39,76,3,4,2,342,3,1,4,314,Regular,5
Abel Hintz,4,29,206,2,1,1,211,3,5,5,355,Big Spenders,3
Abie Greenfelder DVM,1,26,58,2,4,3,243,4,1,2,412,Regular,5
Abigail Deckow,1,70,58,4,4,3,443,1,1,2,112,At Risk,6
Abigail Roberts,1,85,53,4,4,3,443,1,1,2,112,At Risk,6
Abigale Leannon,1,47,80,3,4,2,342,2,1,4,214,Regular,5
Abigale McCullough,2,4,100,1,2,2,122,5,4,4,544,VIP,1
Abigayle Batz MD,1,44,71,3,4,2,342,3,1,3,313,Regular,5
Abigayle Reinger,3,34,134,2,1,1,211,3,5,5,355,Big Spenders,3
Abner Bergnaum,1,78,67,4,4,3,443,1,1,3,113,Regular,5
Ace Ernser,5,74,202,4,1,1,411,1,5,5,155,Big Spenders,3
Acey Altenwerth,1,76,28,4,4,4,444,1,1,1,111,At Risk,6
Acey Altenwerth Jr.,1,89,64,4,4,3,443,1,1,3,113,Regular,5
Acey Brakus,1,67,53,4,4,3,443,2,1,2,212,At Risk,6
Acey Konopelski PhD,1,11,54,1,4,3,143,4,1,2,412,Regular,5
Acey Strosin II,1,14,54,2,4,3,243,4,1,2,412,Regular,5
Acey Wisoky,1,90,20,4,4,4,444,1,1,1,111,At Risk,6
Acie Buckridge,1,88,45,4,4,3,443,1,1,2,112,At Risk,6
Acie Dickinson,2,47,92,3,2,2,322,2,4,4,244,Big Spenders,3
Acy Aufderhar,1,84,65,4,4,3,443,1,1,3,113,Regular,5
Ada Bergnaum,1,12,48,1,4,3,143,4,1,2,412,Regular,5
Ada Hermann,2,57,101,3,2,2,322,2,4,4,244,Big Spenders,3
Adah Turcotte,1,89,27,4,4,4,444,1,1,1,111,At Risk,6
Adalberto Daniel,4,14,221,2,1,1,211,4,5,5,455,VIP,1
Adalberto White,1,18,57,2,4,3,243,4,1,2,412,Regular,5
Adaline Lehner,1,30,48,2,4,3,243,3,1,2,312,Regular,5
Adaline Rogahn,2,39,100,3,2,2,322,3,4,4,344,Big Spenders,3
Adalyn McClure,2,46,104,3,2,2,322,2,4,4,244,Big Spenders,3
Adams Romaguera III,1,4,68,1,4,2,142,5,1,3,513,New/Higher Recency,4
Adams Windler,1,26,32,2,4,4,244,3,1,1,311,Regular,5
Adan Berge,1,46,59,3,4,3,343,2,1,3,213,Regular,5
Adan Denesik,1,45,33,3,4,4,344,3,1,1,311,Regular,5
Add Jacobson,5,5,248,1,1,1,111,5,5,5,555,VIP,1
Add Senger,2,16,121,2,2,1,221,4,4,4,444,VIP,1
Adda Corkery,2,43,97,3,2,2,322,3,4,4,344,Big Spenders,3
Addison Bogan DVM,1,89,38,4,4,4,444,1,1,1,111,At Risk,6
Addison Cole,5,20,168,2,1,1,211,4,5,5,455,VIP,1
Addison Kihn,2,12,84,1,2,2,122,4,4,4,444,VIP,1
Addisyn Becker,1,80,28,4,4,4,444,1,1,1,111,At Risk,6
Addisyn Halvorson,1,26,79,2,4,2,242,3,1,4,314,Regular,5
Addisyn Schneider DVM,1,83,47,4,4,3,443,1,1,2,112,At Risk,6
Addisyn Wuckert,1,45,70,3,4,2,342,3,1,3,313,Regular,5
Addyson Cole,1,31,48,2,4,3,243,3,1,2,312,Regular,5
Addyson Jacobs,1,5,25,1,4,4,144,5,1,1,511,New/Higher Recency,4
Adel Casper,1,50,31,3,4,4,344,2,1,1,211,At Risk,6
Adel Hayes,3,6,156,1,1,1,111,5,5,5,555,VIP,1
Adela Kemmer,1,44,41,3,4,4,344,3,1,2,312,Regular,5
Adelard Dare,1,87,29,4,4,4,444,1,1,1,111,At Risk,6
Adelard Gutkowski,2,6,110,1,2,1,121,5,4,4,544,VIP,1
Adelard Lubowitz,1,27,30,2,4,4,244,3,1,1,311,Regular,5
Adelbert Nitzsche,2,6,121,1,2,1,121,5,4,4,544,VIP,1
Adele Konopelski,2,0,90,1,2,2,122,5,4,4,544,VIP,1
Adele Purdy,2,3,112,1,2,1,121,5,4,4,544,VIP,1
Adelia Johns MD,1,6,59,1,4,3,143,5,1,3,513,New/Higher Recency,4
Adelina Frami,3,1,158,1,1,1,111,5,5,5,555,VIP,1
Adelina Mosciski,1,8,44,1,4,4,144,5,1,2,512,New/Higher Recency,4
Adelina Parker,2,73,66,4,2,3,423,1,4,3,143,Big Spenders,3
Adelina Terry,1,12,41,1,4,4,144,4,1,2,412,Regular,5
Adella Emard,1,37,55,2,4,3,243,3,1,2,312,Regular,5
Adella Kling,1,73,50,4,4,3,443,1,1,2,112,At Risk,6
Adelle Barton,2,59,52,3,2,3,323,2,4,2,242,Regular,5
Adelle Vandervort MD,2,30,149,2,2,1,221,3,4,5,345,Big Spenders,3
Adelynn Sipes,1,5,33,1,4,4,144,5,1,1,511,New/Higher Recency,4
Aden Lesch Sr.,1,32,37,2,4,4,244,3,1,1,311,Regular,5
Adilene Macejkovic,1,47,20,3,4,4,344,2,1,1,211,At Risk,6
Adin Ledner,1,70,35,4,4,4,444,1,1,1,111,At Risk,6
Adina Cummerata,1,47,20,3,4,4,344,2,1,1,211,At Risk,6
Adina Wyman,1,14,25,2,4,4,244,4,1,1,411,Regular,5
Adlai Boyle,2,38,97,2,2,2,222,3,4,4,344,Big Spenders,3
Adlai Mills,1,14,24,2,4,4,244,4,1,1,411,Regular,5
Adlai Schimmel,1,17,44,2,4,4,244,4,1,2,412,Regular,5
Admiral Glover,1,84,59,4,4,3,443,1,1,3,113,Regular,5
Admiral Keebler III,1,65,77,4,4,2,442,2,1,4,214,Regular,5
Admiral Lueilwitz,1,84,58,4,4,3,443,1,1,2,112,At Risk,6
Admiral Schuppe PhD,5,3,239,1,1,1,111,5,5,5,555,VIP,1
Admiral Senger,1,6,66,1,4,3,143,5,1,3,513,New/Higher Recency,4
Adolf Emard,1,90,71,4,4,2,442,1,1,3,113,Regular,5
Adolf Mosciski Jr.,2,53,102,3,2,2,322,2,4,4,244,Big Spenders,3
Adolfo Tillman,2,66,117,4,2,1,421,2,4,4,244,Big Spenders,3
Adolph Runolfsdottir,1,67,63,4,4,3,443,2,1,3,213,Regular,5
Adolphus Stiedemann,3,31,150,2,1,1,211,3,5,5,355,Big Spenders,3
Adonis Hand,5,4,284,1,1,1,111,5,5,5,555,VIP,1
Adonis Hansen,2,43,83,3,2,2,322,3,4,4,344,Big Spenders,3
Adonis Reinger,1,46,68,3,4,2,342,2,1,3,213,Regular,5
Adria Swaniawski,1,47,52,3,4,3,343,2,1,2,212,At Risk,6
Adrian Kozey,2,48,88,3,2,2,322,2,4,4,244,Big Spenders,3
Adriana Satterfield MD,1,15,42,2,4,4,244,4,1,2,412,Regular,5
Adrianne Johnston PhD,1,81,26,4,4,4,444,1,1,1,111,At Risk,6
Adrien Gorczany,1,44,77,3,4,2,342,3,1,4,314,Regular,5
Adrien Witting,1,28,42,2,4,4,244,3,1,2,312,Regular,5
Adriene Becker,2,12,79,1,2,2,122,4,4,4,444,VIP,1
Adriene Schmitt,1,3,53,1,4,3,143,5,1,2,512,New/Higher Recency,4
Aedan Graham,5,6,218,1,1,1,111,5,5,5,555,VIP,1
Afton Rath PhD,1,15,33,2,4,4,244,4,1,1,411,Regular,5
Afton Schulist,4,16,179,2,1,1,211,4,5,5,455,VIP,1
Agatha Beier,1,42,77,3,4,2,342,3,1,4,314,Regular,5
Agatha Connelly,5,59,210,3,1,1,311,2,5,5,255,Big Spenders,3
Agatha Kilback DVM,2,19,154,2,2,1,221,4,4,5,445,VIP,1
Agatha Klocko,1,34,25,2,4,4,244,3,1,1,311,Regular,5
Aggie Feil,1,18,71,2,4,2,242,4,1,3,413,Regular,5
Aggie Harris,1,72,40,4,4,4,444,1,1,2,112,At Risk,6
Agnes Anderson DVM,6,1,296,1,1,1,111,5,5,5,555,VIP,1
Agness Barton,1,85,73,4,4,2,442,1,1,3,113,Regular,5
Agness Hane,1,67,26,4,4,4,444,2,1,1,211,At Risk,6
Agness O'Keefe,1,46,44,3,4,4,344,2,1,2,212,At Risk,6
Agness Pouros,1,90,38,4,4,4,444,1,1,1,111,At Risk,6
Agusta Gislason DDS,1,86,67,4,4,3,443,1,1,3,113,Regular,5
Agusta Wiegand,1,56,33,3,4,4,344,2,1,1,211,At Risk,6
Agustin Larson,1,87,75,4,4,2,442,1,1,3,113,Regular,5
Agustin Marks,1,79,58,4,4,3,443,1,1,2,112,At Risk,6
Agustus Kohler,1,20,51,2,4,3,243,4,1,2,412,Regular,5
Ah Hahn DVM,2,12,76,1,2,2,122,4,4,4,444,VIP,1
Ahmad Cremin,1,40,56,3,4,3,343,3,1,2,312,Regular,5
Ahmad Moen,2,12,64,1,2,3,123,4,4,3,443,Loyal,2
Ahmad Roob,1,56,78,3,4,2,342,2,1,4,214,Regular,5
Ahmed Armstrong,1,42,53,3,4,3,343,3,1,2,312,Regular,5
Ahmed Becker,1,47,55,3,4,3,343,2,1,2,212,At Risk,6
Ahmed Howe,1,50,37,3,4,4,344,2,1,1,211,At Risk,6
Ahmed Leffler,2,88,69,4,2,2,422,1,4,3,143,Big Spenders,3
Aidan Harris,1,83,56,4,4,3,443,1,1,2,112,At Risk,6
Aidan King,1,89,52,4,4,3,443,1,1,2,112,At Risk,6
Aidan Stokes,1,90,54,4,4,3,443,1,1,2,112,At Risk,6
Aiden Bode,5,40,294,3,1,1,311,3,5,5,355,Big Spenders,3
Aiden Windler,1,68,21,4,4,4,444,1,1,1,111,At Risk,6
Aiden Wolf I,2,38,126,2,2,1,221,3,4,5,345,Big Spenders,3
Aidyn Champlin,1,83,32,4,4,4,444,1,1,1,111,At Risk,6
Aidyn McDermott,1,20,52,2,4,3,243,4,1,2,412,Regular,5
Aidyn Runolfsdottir,1,46,24,3,4,4,344,2,1,1,211,At Risk,6
Aileen Barton,1,80,21,4,4,4,444,1,1,1,111,At Risk,6
Aileen Schuppe,1,86,33,4,4,4,444,1,1,1,111,At Risk,6
Ailene Hermann,3,10,188,1,1,1,111,5,5,5,555,VIP,1
Ailene Kerluke,7,5,354,1,1,1,111,5,5,5,555,VIP,1
Ailene Wiegand MD,1,76,40,4,4,4,444,1,1,2,112,At Risk,6
Aime Kihn,1,47,23,3,4,4,344,2,1,1,211,At Risk,6
Aime Smith,1,14,65,2,4,3,243,4,1,3,413,Regular,5
Ainsley Haag MD,17,3,906,1,1,1,111,5,5,5,555,VIP,1
Ainsley Jacobs,3,2,175,1,1,1,111,5,5,5,555,VIP,1
Ainsley Schmitt,1,7,69,1,4,2,142,5,1,3,513,New/Higher Recency,4
Aisha Mann,1,30,71,2,4,2,242,3,1,3,313,Regular,5
Aiyanna Bruen PhD,1,12,47,1,4,3,143,4,1,2,412,Regular,5
Aiyanna Casper DDS,1,14,67,2,4,3,243,4,1,3,413,Regular,5
Aiyanna DuBuque,1,18,27,2,4,4,244,4,1,1,411,Regular,5
Aja Bins DVM,1,5,73,1,4,2,142,5,1,3,513,New/Higher Recency,4
Aja Harber,3,30,140,2,1,1,211,3,5,5,355,Big Spenders,3
